quad_ref_x,quad_ref_y,quad_actual_x,quad_actual_y,payload_ref_x,payload_ref_y,payload_actual_x,payload_actual_y
-4.88046,0.584851,-4.89024,0.0771826,-4.96448,0.594919,-4.95277,0.112177
-4.88339,0.559883,-4.89069,0.049592,-4.96746,0.569522,-4.95459,0.091174
-4.88612,0.535516,-4.89097,0.0219715,-4.97024,0.544734,-4.95633,0.0702546
-4.88874,0.511123,-4.89108,-0.00567775,-4.97289,0.519922,-4.95739,0.0572221
-4.89124,0.486523,-4.89102,-0.0333538,-4.97545,0.494898,-4.96,0.0234882
-4.89359,0.462361,-4.89085,-0.0555112,-4.97783,0.47032,-4.96095,0.0105714
-4.89585,0.437799,-4.89066,-0.0721367,-4.98013,0.445336,-4.96295,-0.0177352
-4.89801,0.412857,-4.89009,-0.105403,-4.98233,0.419964,-4.96465,-0.0433401
-4.89995,0.38918,-4.88991,-0.113722,-4.9843,0.39588,-4.96623,-0.068826
-4.90234,0.357791,-4.88958,-0.12759,-4.98674,0.36395,-4.96769,-0.0941964
-4.90363,0.339699,-4.88873,-0.158107,-4.98805,0.345547,-4.96903,-0.119455
-4.90524,0.315575,-4.88827,-0.171982,-4.98968,0.321007,-4.96989,-0.137071
-4.90676,0.29099,-4.88668,-0.213617,-4.99123,0.295999,-4.9708,-0.157141
-4.90816,0.266368,-4.88543,-0.241384,-4.99265,0.270954,-4.97164,-0.177143
-4.90952,0.239879,-4.88488,-0.252493,-4.99404,0.244009,-4.97256,-0.202053
-4.91062,0.216374,-4.88341,-0.280269,-4.99515,0.220099,-4.97282,-0.209507
-4.9116,0.192834,-4.88144,-0.313602,-4.99615,0.196154,-4.97351,-0.231818
-4.9125,0.16827,-4.88055,-0.327492,-4.99707,0.171167,-4.9741,-0.254056
-4.91328,0.143575,-4.87867,-0.355269,-4.99787,0.146046,-4.97463,-0.278681
-4.91393,0.119271,-4.87663,-0.383041,-4.99853,0.121324,-4.97503,-0.303223
-4.91447,0.0947543,-4.87375,-0.419136,-4.99907,0.0963855,-4.97525,-0.3228
-4.91488,0.0701199,-4.87258,-0.433014,-4.99949,0.071327,-4.97541,-0.349642
-4.91518,0.0448115,-4.86961,-0.46631,-4.99979,0.0455829,-4.97542,-0.373968
-4.91534,0.0201478,-4.86909,-0.471858,-4.99996,0.0204947,-4.97533,-0.390957
-4.91537,-0.00856365,-4.86642,-0.499584,-4.99999,-0.00871108,-4.97515,-0.410337
-4.91529,-0.0302726,-4.86446,-0.518982,-4.99991,-0.0307938,-4.97488,-0.429679
